filename,log_sr_r,log_sr_g,log_sr_b
1-1.tiff,0.6441,0.5858,0.4919
10-1.tiff,0.6183,0.5889,0.5205
10-10.tiff,0.6216,0.5868,0.5189
10-11.tiff,0.6226,0.5864,0.5181
10-12.tiff,0.6220,0.5866,0.5187
10-13.tiff,0.6224,0.5865,0.5183
10-14.tiff,0.6208,0.5871,0.5195
10-15.tiff,0.6203,0.5873,0.5199
10-16.tiff,0.6213,0.5869,0.5192
10-17.tiff,0.6203,0.5873,0.5199
10-18.tiff,0.6222,0.5866,0.5185
10-2.tiff,0.6209,0.5872,0.5194
10-3.tiff,0.6219,0.5867,0.5186
10-4.tiff,0.6218,0.5867,0.5187
10-5.tiff,0.6226,0.5865,0.5181
10-6.tiff,0.6202,0.5872,0.5201
10-7.tiff,0.6195,0.5876,0.5205
10-8.tiff,0.6200,0.5875,0.5201
10-9.tiff,0.6206,0.5872,0.5197
11-1.tiff,0.6370,0.5865,0.5003
11-10.tiff,0.6391,0.5862,0.4980
11-11.tiff,0.6379,0.5861,0.4995
11-2.tiff,0.6378,0.5865,0.4992
11-3.tiff,0.6380,0.5864,0.4990
11-4.tiff,0.6361,0.5866,0.5012
11-5.tiff,0.6356,0.5866,0.5019
11-6.tiff,0.6360,0.5866,0.5014
11-7.tiff,0.6363,0.5866,0.5010
11-8.tiff,0.6387,0.5862,0.4984
11-9.tiff,0.6384,0.5863,0.4987
12-1.tiff,0.6358,0.5869,0.5013
12-10.tiff,0.6388,0.5863,0.4983
12-11.tiff,0.6385,0.5862,0.4986
12-12.tiff,0.6364,0.5868,0.5007
12-13.tiff,0.6363,0.5869,0.5006
12-14.tiff,0.6355,0.5871,0.5015
12-15.tiff,0.6367,0.5869,0.5001
12-16.tiff,0.6362,0.5871,0.5006
12-17.tiff,0.6362,0.5871,0.5006
12-18.tiff,0.6375,0.5865,0.4996
12-19.tiff,0.6373,0.5865,0.4999
12-2.tiff,0.6358,0.5870,0.5013
12-20.tiff,0.6383,0.5865,0.4986
12-21.tiff,0.6383,0.5865,0.4986
12-3.tiff,0.6352,0.5871,0.5019
12-4.tiff,0.6391,0.5857,0.4984
12-5.tiff,0.6355,0.5866,0.5020
12-6.tiff,0.6363,0.5870,0.5006
12-7.tiff,0.6355,0.5864,0.5022
12-8.tiff,0.6367,0.5868,0.5003
12-9.tiff,0.6365,0.5869,0.5005
13-1.tiff,0.6412,0.5858,0.4958
13-10.tiff,0.6398,0.5862,0.4969
13-11.tiff,0.6396,0.5861,0.4975
13-12.tiff,0.6414,0.5858,0.4954
13-13.tiff,0.6416,0.5857,0.4953
13-14.tiff,0.6414,0.5857,0.4955
13-15.tiff,0.6413,0.5858,0.4955
13-16.tiff,0.6412,0.5858,0.4957
13-17.tiff,0.6413,0.5858,0.4956
13-18.tiff,0.6413,0.5858,0.4956
13-2.tiff,0.6401,0.5862,0.4967
13-3.tiff,0.6403,0.5860,0.4966
13-4.tiff,0.6365,0.5868,0.5005
13-5.tiff,0.6404,0.5861,0.4963
13-6.tiff,0.6410,0.5859,0.4958
13-7.tiff,0.6415,0.5858,0.4953
13-8.tiff,0.6414,0.5858,0.4955
13-9.tiff,0.6432,0.5856,0.4933
14-1.tiff,0.6392,0.5858,0.4982
14-2.tiff,0.6393,0.5845,0.4997
14-3.tiff,0.6379,0.5854,0.5004
14-4.tiff,0.6398,0.5856,0.4977
14-5.tiff,0.6386,0.5859,0.4989
14-6.tiff,0.6384,0.5865,0.4985
14-7.tiff,0.6388,0.5862,0.4982
14-8.tiff,0.6396,0.5862,0.4972
14-9.tiff,0.6385,0.5866,0.4982
15-1.tiff,0.6313,0.5877,0.5060
15-10.tiff,0.6327,0.5873,0.5048
15-11.tiff,0.6326,0.5873,0.5049
15-12.tiff,0.6318,0.5873,0.5059
15-13.tiff,0.6308,0.5878,0.5066
15-14.tiff,0.6309,0.5872,0.5071
15-15.tiff,0.6323,0.5872,0.5054
15-16.tiff,0.6309,0.5871,0.5072
15-17.tiff,0.6320,0.5874,0.5056
15-18.tiff,0.6316,0.5876,0.5058
15-19.tiff,0.6330,0.5874,0.5043
15-2.tiff,0.6314,0.5875,0.5062
15-20.tiff,0.6325,0.5875,0.5048
15-21.tiff,0.6332,0.5867,0.5048
15-22.tiff,0.6338,0.5880,0.5026
15-23.tiff,0.6320,0.5875,0.5054
15-24.tiff,0.6325,0.5873,0.5049
15-25.tiff,0.6358,0.5858,0.5026
15-26.tiff,0.6330,0.5875,0.5042
15-27.tiff,0.6351,0.5860,0.5031
15-28.tiff,0.6326,0.5873,0.5049
15-29.tiff,0.6323,0.5873,0.5053
15-3.tiff,0.6339,0.5858,0.5049
15-4.tiff,0.6308,0.5872,0.5073
15-5.tiff,0.6326,0.5873,0.5050
15-6.tiff,0.6325,0.5873,0.5050
15-7.tiff,0.6323,0.5876,0.5049
15-8.tiff,0.6325,0.5872,0.5051
15-9.tiff,0.6326,0.5872,0.5049
16-1.tiff,0.6281,0.5876,0.5102
16-10.tiff,0.6307,0.5876,0.5070
16-11.tiff,0.6311,0.5872,0.5069
16-12.tiff,0.6297,0.5881,0.5076
16-13.tiff,0.6303,0.5872,0.5080
16-14.tiff,0.6311,0.5872,0.5069
16-15.tiff,0.6281,0.5876,0.5101
16-16.tiff,0.6277,0.5876,0.5106
16-17.tiff,0.6286,0.5875,0.5096
16-18.tiff,0.6284,0.5874,0.5100
16-19.tiff,0.6284,0.5874,0.5099
16-2.tiff,0.6276,0.5874,0.5110
16-20.tiff,0.6289,0.5866,0.5103
16-3.tiff,0.6291,0.5874,0.5091
16-4.tiff,0.6303,0.5872,0.5078
16-5.tiff,0.6290,0.5870,0.5097
16-6.tiff,0.6288,0.5869,0.5100
16-7.tiff,0.6300,0.5878,0.5076
16-8.tiff,0.6308,0.5877,0.5067
16-9.tiff,0.6308,0.5878,0.5066
17-1.tiff,0.6326,0.5872,0.5050
17-10.tiff,0.6315,0.5878,0.5056
17-11.tiff,0.6331,0.5876,0.5039
17-12.tiff,0.6337,0.5874,0.5033
17-13.tiff,0.6359,0.5871,0.5010
17-14.tiff,0.6356,0.5872,0.5012
17-15.tiff,0.6354,0.5873,0.5014
17-16.tiff,0.6354,0.5873,0.5014
17-2.tiff,0.6336,0.5871,0.5038
17-3.tiff,0.6336,0.5874,0.5035
17-4.tiff,0.6324,0.5874,0.5050
17-5.tiff,0.6331,0.5871,0.5044
17-6.tiff,0.6338,0.5870,0.5037
17-7.tiff,0.6351,0.5871,0.5019
17-8.tiff,0.6351,0.5872,0.5019
17-9.tiff,0.6337,0.5875,0.5032
18-1.tiff,0.6277,0.5870,0.5112
18-10.tiff,0.6308,0.5871,0.5074
18-11.tiff,0.6300,0.5871,0.5084
18-12.tiff,0.6304,0.5869,0.5081
18-13.tiff,0.6302,0.5869,0.5084
18-14.tiff,0.6301,0.5869,0.5084
18-15.tiff,0.6292,0.5871,0.5093
18-16.tiff,0.6297,0.5870,0.5087
18-17.tiff,0.6299,0.5870,0.5086
18-18.tiff,0.6302,0.5869,0.5082
18-2.tiff,0.6277,0.5874,0.5108
18-3.tiff,0.6305,0.5862,0.5088
18-4.tiff,0.6311,0.5862,0.5080
18-5.tiff,0.6295,0.5864,0.5097
18-6.tiff,0.6294,0.5864,0.5100
18-7.tiff,0.6301,0.5860,0.5095
18-8.tiff,0.6251,0.5880,0.5133
18-9.tiff,0.6253,0.5880,0.5131
19-1.tiff,0.6367,0.5867,0.5004
19-10.tiff,0.6359,0.5864,0.5019
19-2.tiff,0.6389,0.5856,0.4989
19-3.tiff,0.6390,0.5856,0.4988
19-4.tiff,0.6362,0.5862,0.5017
19-5.tiff,0.6365,0.5862,0.5012
19-6.tiff,0.6351,0.5868,0.5024
19-7.tiff,0.6337,0.5870,0.5038
19-8.tiff,0.6345,0.5863,0.5036
19-9.tiff,0.6357,0.5862,0.5022
2-1.tiff,0.6381,0.5864,0.4989
2-10.tiff,0.6377,0.5868,0.4991
2-11.tiff,0.6359,0.5874,0.5006
2-2.tiff,0.6383,0.5864,0.4988
2-3.tiff,0.6389,0.5863,0.4980
2-4.tiff,0.6406,0.5862,0.4960
2-5.tiff,0.6382,0.5863,0.4989
2-6.tiff,0.6347,0.5871,0.5025
2-7.tiff,0.6353,0.5873,0.5015
2-8.tiff,0.6324,0.5882,0.5042
2-9.tiff,0.6355,0.5872,0.5013
20-1.tiff,0.6563,0.5835,0.4783
20-2.tiff,0.6559,0.5837,0.4787
20-3.tiff,0.6542,0.5832,0.4815
20-4.tiff,0.6526,0.5844,0.4823
20-5.tiff,0.6528,0.5842,0.4823
20-6.tiff,0.6547,0.5834,0.4806
21-1.tiff,0.6448,0.5839,0.4932
21-10.tiff,0.6456,0.5833,0.4929
21-11.tiff,0.6455,0.5835,0.4928
21-12.tiff,0.6452,0.5837,0.4930
21-2.tiff,0.6443,0.5840,0.4938
21-3.tiff,0.6424,0.5850,0.4950
21-4.tiff,0.6432,0.5847,0.4944
21-5.tiff,0.6413,0.5827,0.4992
21-6.tiff,0.6429,0.5849,0.4945
21-7.tiff,0.6453,0.5841,0.4924
21-8.tiff,0.6452,0.5840,0.4925
21-9.tiff,0.6448,0.5840,0.4932
22-1.tiff,0.6479,0.5845,0.4885
22-10.tiff,0.6478,0.5844,0.4887
22-11.tiff,0.6464,0.5822,0.4932
22-2.tiff,0.6441,0.5854,0.4924
22-3.tiff,0.6455,0.5849,0.4911
22-4.tiff,0.6464,0.5842,0.4907
22-5.tiff,0.6478,0.5842,0.4890
22-6.tiff,0.6500,0.5842,0.4859
22-7.tiff,0.6491,0.5844,0.4871
22-8.tiff,0.6472,0.5836,0.4905
22-9.tiff,0.6509,0.5841,0.4849
23-1.tiff,0.6498,0.5825,0.4884
23-10.tiff,0.6507,0.5825,0.4872
23-2.tiff,0.6495,0.5825,0.4887
23-3.tiff,0.6499,0.5824,0.4883
23-4.tiff,0.6506,0.5823,0.4875
23-5.tiff,0.6501,0.5828,0.4875
23-6.tiff,0.6504,0.5822,0.4878
23-7.tiff,0.6503,0.5823,0.4879
23-8.tiff,0.6505,0.5821,0.4878
23-9.tiff,0.6506,0.5823,0.4875
24-1.tiff,0.6340,0.5851,0.5057
24-10.tiff,0.6330,0.5857,0.5063
24-11.tiff,0.6353,0.5853,0.5038
24-12.tiff,0.6342,0.5855,0.5050
24-13.tiff,0.6346,0.5854,0.5046
24-2.tiff,0.6344,0.5854,0.5048
24-3.tiff,0.6345,0.5853,0.5047
24-4.tiff,0.6329,0.5860,0.5060
24-5.tiff,0.6344,0.5856,0.5046
24-6.tiff,0.6356,0.5853,0.5034
24-7.tiff,0.6342,0.5857,0.5047
24-8.tiff,0.6345,0.5855,0.5046
24-9.tiff,0.6350,0.5852,0.5043
25-1.tiff,0.6434,0.5851,0.4937
25-10.tiff,0.6430,0.5846,0.4948
25-11.tiff,0.6403,0.5857,0.4969
25-12.tiff,0.6399,0.5861,0.4969
25-13.tiff,0.6417,0.5848,0.4963
25-14.tiff,0.6419,0.5848,0.4960
25-15.tiff,0.6427,0.5846,0.4951
25-16.tiff,0.6420,0.5852,0.4954
25-2.tiff,0.6433,0.5850,0.4939
25-3.tiff,0.6419,0.5854,0.4953
25-4.tiff,0.6422,0.5850,0.4953
25-5.tiff,0.6410,0.5846,0.4974
25-6.tiff,0.6443,0.5840,0.4938
25-7.tiff,0.6418,0.5846,0.4963
25-8.tiff,0.6420,0.5846,0.4960
25-9.tiff,0.6408,0.5843,0.4980
26-1.tiff,0.6456,0.5847,0.4913
26-10.tiff,0.6461,0.5845,0.4908
26-11.tiff,0.6452,0.5847,0.4917
26-12.tiff,0.6452,0.5847,0.4918
26-13.tiff,0.6452,0.5847,0.4918
26-14.tiff,0.6450,0.5847,0.4921
26-15.tiff,0.6453,0.5848,0.4916
26-16.tiff,0.6453,0.5848,0.4915
26-2.tiff,0.6453,0.5847,0.4916
26-3.tiff,0.6459,0.5847,0.4908
26-4.tiff,0.6452,0.5847,0.4917
26-5.tiff,0.6469,0.5844,0.4898
26-6.tiff,0.6462,0.5846,0.4907
26-7.tiff,0.6466,0.5845,0.4902
26-8.tiff,0.6457,0.5847,0.4912
26-9.tiff,0.6455,0.5846,0.4914
27-1.tiff,0.6498,0.5844,0.4860
27-2.tiff,0.6494,0.5819,0.4896
27-3.tiff,0.6510,0.5841,0.4848
27-4.tiff,0.6503,0.5845,0.4852
27-5.tiff,0.6497,0.5847,0.4857
27-6.tiff,0.6504,0.5841,0.4856
27-7.tiff,0.6498,0.5822,0.4887
27-8.tiff,0.6519,0.5829,0.4850
27-9.tiff,0.6518,0.5838,0.4841
28-1.tiff,0.6427,0.5851,0.4946
28-10.tiff,0.6404,0.5858,0.4967
28-11.tiff,0.6405,0.5857,0.4967
28-12.tiff,0.6419,0.5843,0.4965
28-13.tiff,0.6415,0.5847,0.4965
28-14.tiff,0.6395,0.5853,0.4984
28-15.tiff,0.6394,0.5856,0.4982
28-2.tiff,0.6418,0.5845,0.4964
28-3.tiff,0.6395,0.5861,0.4975
28-4.tiff,0.6411,0.5858,0.4958
28-5.tiff,0.6422,0.5854,0.4949
28-6.tiff,0.6391,0.5864,0.4977
28-7.tiff,0.6415,0.5858,0.4953
28-8.tiff,0.6421,0.5860,0.4943
28-9.tiff,0.6419,0.5855,0.4951
29-1.tiff,0.6511,0.5836,0.4852
29-10.tiff,0.6508,0.5833,0.4860
29-11.tiff,0.6513,0.5835,0.4852
29-2.tiff,0.6462,0.5851,0.4899
29-3.tiff,0.6491,0.5829,0.4888
29-4.tiff,0.6489,0.5827,0.4893
29-5.tiff,0.6518,0.5842,0.4836
29-6.tiff,0.6508,0.5841,0.4850
29-7.tiff,0.6506,0.5836,0.4860
29-8.tiff,0.6503,0.5836,0.4864
29-9.tiff,0.6515,0.5837,0.4846
3-1.tiff,0.6406,0.5859,0.4964
3-10.tiff,0.6421,0.5856,0.4948
3-2.tiff,0.6424,0.5855,0.4944
3-3.tiff,0.6454,0.5848,0.4915
3-4.tiff,0.6388,0.5859,0.4986
3-5.tiff,0.6422,0.5852,0.4951
3-6.tiff,0.6439,0.5851,0.4930
3-7.tiff,0.6452,0.5847,0.4918
3-8.tiff,0.6445,0.5852,0.4920
3-9.tiff,0.6450,0.5852,0.4914
30-1.tiff,0.6440,0.5848,0.4932
30-10.tiff,0.6448,0.5838,0.4933
30-11.tiff,0.6465,0.5840,0.4909
30-12.tiff,0.6460,0.5846,0.4908
30-13.tiff,0.6429,0.5837,0.4959
30-14.tiff,0.6431,0.5832,0.4963
30-15.tiff,0.6445,0.5835,0.4942
30-16.tiff,0.6440,0.5850,0.4929
30-17.tiff,0.6449,0.5841,0.4928
30-18.tiff,0.6448,0.5828,0.4945
30-2.tiff,0.6415,0.5844,0.4969
30-3.tiff,0.6398,0.5867,0.4964
30-4.tiff,0.6438,0.5860,0.4920
30-5.tiff,0.6430,0.5863,0.4929
30-6.tiff,0.6380,0.5869,0.4986
30-7.tiff,0.6374,0.5852,0.5012
30-8.tiff,0.6417,0.5845,0.4966
30-9.tiff,0.6446,0.5833,0.4943
31-1.tiff,0.6457,0.5849,0.4908
31-10.tiff,0.6448,0.5852,0.4917
31-11.tiff,0.6457,0.5852,0.4904
31-12.tiff,0.6456,0.5853,0.4906
31-13.tiff,0.6429,0.5859,0.4933
31-14.tiff,0.6479,0.5848,0.4880
31-15.tiff,0.6461,0.5850,0.4903
31-16.tiff,0.6456,0.5849,0.4910
31-2.tiff,0.6456,0.5850,0.4909
31-3.tiff,0.6471,0.5846,0.4893
31-4.tiff,0.6462,0.5849,0.4902
31-5.tiff,0.6477,0.5848,0.4883
31-6.tiff,0.6468,0.5847,0.4897
31-7.tiff,0.6459,0.5849,0.4906
31-8.tiff,0.6459,0.5849,0.4907
31-9.tiff,0.6461,0.5848,0.4904
32-1.tiff,0.6453,0.5824,0.4943
32-2.tiff,0.6454,0.5825,0.4941
32-3.tiff,0.6460,0.5828,0.4930
32-4.tiff,0.6438,0.5852,0.4931
32-5.tiff,0.6444,0.5840,0.4937
32-6.tiff,0.6437,0.5842,0.4943
32-7.tiff,0.6469,0.5828,0.4918
32-8.tiff,0.6473,0.5829,0.4911
33-1.tiff,0.6378,0.5868,0.4988
33-10.tiff,0.6387,0.5867,0.4978
33-11.tiff,0.6390,0.5866,0.4975
33-12.tiff,0.6421,0.5861,0.4942
33-13.tiff,0.6381,0.5867,0.4986
33-14.tiff,0.6384,0.5867,0.4982
33-15.tiff,0.6375,0.5859,0.5004
33-16.tiff,0.6388,0.5872,0.4971
33-17.tiff,0.6379,0.5867,0.4989
33-18.tiff,0.6379,0.5872,0.4983
33-19.tiff,0.6410,0.5861,0.4957
33-2.tiff,0.6423,0.5857,0.4944
33-20.tiff,0.6386,0.5859,0.4989
33-21.tiff,0.6381,0.5869,0.4984
33-22.tiff,0.6387,0.5872,0.4972
33-23.tiff,0.6390,0.5871,0.4970
33-24.tiff,0.6413,0.5863,0.4949
33-25.tiff,0.6409,0.5859,0.4960
33-26.tiff,0.6396,0.5860,0.4976
33-27.tiff,0.6386,0.5863,0.4984
33-3.tiff,0.6373,0.5867,0.4996
33-4.tiff,0.6375,0.5868,0.4992
33-5.tiff,0.6374,0.5868,0.4993
33-6.tiff,0.6412,0.5858,0.4957
33-7.tiff,0.6432,0.5857,0.4932
33-8.tiff,0.6379,0.5862,0.4995
33-9.tiff,0.6376,0.5868,0.4991
34-1.tiff,0.6427,0.5845,0.4952
34-10.tiff,0.6420,0.5834,0.4974
34-11.tiff,0.6383,0.5857,0.4996
34-12.tiff,0.6381,0.5858,0.4997
34-13.tiff,0.6430,0.5815,0.4983
34-14.tiff,0.6398,0.5859,0.4974
34-2.tiff,0.6420,0.5840,0.4968
34-3.tiff,0.6427,0.5839,0.4959
34-4.tiff,0.6413,0.5842,0.4975
34-5.tiff,0.6452,0.5810,0.4962
34-6.tiff,0.6478,0.5787,0.4954
34-7.tiff,0.6463,0.5792,0.4968
34-8.tiff,0.6453,0.5791,0.4981
34-9.tiff,0.6457,0.5790,0.4977
35-1.tiff,0.6398,0.5863,0.4969
35-10.tiff,0.6418,0.5862,0.4945
35-11.tiff,0.6415,0.5859,0.4952
35-12.tiff,0.6426,0.5858,0.4939
35-13.tiff,0.6443,0.5860,0.4914
35-14.tiff,0.6426,0.5859,0.4938
35-15.tiff,0.6428,0.5856,0.4938
35-16.tiff,0.6414,0.5864,0.4947
35-17.tiff,0.6400,0.5863,0.4966
35-18.tiff,0.6446,0.5854,0.4917
35-2.tiff,0.6445,0.5841,0.4933
35-3.tiff,0.6422,0.5843,0.4961
35-4.tiff,0.6430,0.5856,0.4937
35-5.tiff,0.6421,0.5861,0.4941
35-6.tiff,0.6443,0.5849,0.4927
35-7.tiff,0.6433,0.5845,0.4945
35-8.tiff,0.6406,0.5867,0.4955
35-9.tiff,0.6419,0.5854,0.4951
36-1.tiff,0.6455,0.5811,0.4956
36-10.tiff,0.6449,0.5819,0.4955
36-11.tiff,0.6441,0.5832,0.4950
36-12.tiff,0.6396,0.5835,0.5004
36-13.tiff,0.6414,0.5838,0.4978
36-14.tiff,0.6408,0.5832,0.4992
36-15.tiff,0.6414,0.5831,0.4986
36-16.tiff,0.6414,0.5841,0.4974
36-2.tiff,0.6424,0.5823,0.4982
36-3.tiff,0.6419,0.5854,0.4954
36-4.tiff,0.6380,0.5866,0.4988
36-5.tiff,0.6341,0.5864,0.5040
36-6.tiff,0.6370,0.5861,0.5007
36-7.tiff,0.6374,0.5862,0.5002
36-8.tiff,0.6386,0.5862,0.4986
36-9.tiff,0.6464,0.5838,0.4912
37-1.tiff,0.6403,0.5861,0.4966
37-10.tiff,0.6412,0.5859,0.4956
37-11.tiff,0.6440,0.5856,0.4923
37-12.tiff,0.6500,0.5843,0.4859
37-13.tiff,0.6443,0.5859,0.4915
37-14.tiff,0.6435,0.5858,0.4928
37-15.tiff,0.6446,0.5857,0.4913
37-16.tiff,0.6472,0.5860,0.4876
37-17.tiff,0.6529,0.5845,0.4818
37-18.tiff,0.6457,0.5856,0.4900
37-19.tiff,0.6437,0.5856,0.4927
37-2.tiff,0.6396,0.5862,0.4973
37-20.tiff,0.6414,0.5860,0.4953
37-21.tiff,0.6443,0.5857,0.4918
